freq,vehicle,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,BUS_TOT,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6583 	7146 	7535 	7627 	7867 
A,BUS_TOT,NR,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6583 	7146 	7535 	7627 	7867 
A,BUS_TOT,NR,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2179 	2397 
A,BUS_TOT,NR,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3283 	3198 
A,BUS_TOT,NR,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2165 	2272 
A,BUS_TOT,NR,AT	9400 	9400 	9900 	9600 	9500 	9000 	9000 	9700 	9700 	9800 	9900 	9900 	9200 	9200 	9400 	9300 	9300 	9300 	9400 	9000 	10000 	10000 	10000 	10000 	9585 	9679 	9825 	9956 	10037 	10148 	10064 	10136 
A,BUS_TOT,NR,AT1	5200 	5200 	5200 	5300 	5200 	4000 	4000 	5300 	5200 	5200 	5200 	5200 	4900 	4900 	5000 	4800 	4800 	4900 	4900 	5000 	5000 	5000 	5000 	5000 	4957 	4987 	5080 	5189 	5226 	5338 	5371 	5451 
A,BUS_TOT,NR,AT11	400 	400 	400 	400 	400 	0 	0 	400 	400 	400 	400 	400 	400 	400 	300 	300 	300 	400 	400 	0 	0 	0 	0 	0 	317 	335 	328 	327 	335 	347 	312 	298 
A,BUS_TOT,NR,AT12	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	900 	900 	1000 	1000 	1000 	900 	900 	1000 	1000 	1000 	1000 	1000 	990 	1008 	1017 	1058 	1028 	1082 	1060 	1062 
A,BUS_TOT,NR,AT13	3800 	3800 	3800 	3900 	3800 	3000 	3000 	3900 	3800 	3800 	3800 	3700 	3600 	3600 	3700 	3500 	3500 	3600 	3600 	4000 	4000 	4000 	4000 	4000 	3650 	3644 	3735 	3804 	3863 	3909 	3999 	4091 
A,BUS_TOT,NR,AT2	1500 	1500 	1500 	1600 	1600 	1000 	1000 	1700 	1700 	1700 	1700 	1800 	1500 	1600 	1600 	1600 	1600 	1500 	1500 	1000 	2000 	2000 	2000 	1000 	1505 	1495 	1538 	1549 	1551 	1520 	1487 	1465 
A,BUS_TOT,NR,AT21	400 	400 	400 	400 	400 	0 	0 	400 	400 	400 	400 	400 	400 	400 	400 	400 	400 	400 	400 	0 	1000 	1000 	1000 	0 	386 	399 	393 	388 	399 	396 	389 	397 
A,BUS_TOT,NR,AT22	1100 	1100 	1100 	1200 	1200 	1000 	1000 	1300 	1300 	1300 	1300 	1300 	1200 	1200 	1200 	1200 	1200 	1100 	1100 	1000 	1000 	1000 	1000 	1000 	1119 	1096 	1145 	1161 	1152 	1124 	1098 	1068 
