freq,unit,landuse,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A,KM2,L0008,AT,82528.1,82528.1,82523.1,82517.8,82511.9,82518.8,82514.9,82510.9,82504.9,82504.9,82462.7,82462.7,82457.9,82457.9,82457.9,82450.2,82450.2,82450.2,82437.8,82434.8,82417.4,82417.4,82409.0,82409.0,82409.0,82409.0
A,KM2,L0008,AT1,23067.3,23067.3,23063.9,23062.8,23060.4,23060.4,23057.8,23056.4,23056.8,23056.8,23025.1,23025.1,23005.3,23005.3,23005.3,23002.4,23002.4,23002.4,22995.1,22995.1,22986.4,22986.4,22982.0,22982.0,22982.0,22982.0
A,KM2,L0008,AT11,3734.4,3734.4,3734.0,3733.9,3733.6,3733.5,3733.2,3733.0,3732.5,3732.5,3703.5,3703.5,3681.1,3681.1,3681.1,3681.2,3681.2,3681.2,3669.9,3669.9,3669.8,3669.8,3669.0,3669.0,3669.0,3669.0
A,KM2,L0008,AT111,696.7,696.7,696.7,696.7,696.6,696.6,696.5,696.4,696.3,696.3,695.9,695.9,695.8,695.8,695.8,695.9,695.9,695.9,694.0,694.0,693.9,693.9,694.0,694.0,694.0,694.0
A,KM2,L0008,AT112,1583.3,1583.3,1583.3,1583.3,1583.1,1583.2,1582.7,1582.6,1582.4,1582.4,1554.1,1554.1,1532.1,1532.1,1532.1,1532.1,1532.1,1532.1,1526.0,1526.0,1526.5,1526.5,1526.0,1526.0,1526.0,1526.0
A,KM2,L0008,AT113,1454.4,1454.4,1454.1,1453.9,1453.9,1453.7,1454.0,1454.0,1453.9,1453.9,1453.6,1453.6,1453.2,1453.2,1453.2,1453.2,1453.2,1453.2,1449.9,1449.9,1449.4,1449.4,1449.0,1449.0,1449.0,1449.0
A,KM2,L0008,AT12,18933.2,18933.2,18931.5,18930.5,18928.7,18930.4,18927.8,18926.4,18927.4,18927.4,18925.1,18925.1,18928.6,18928.6,18928.6,18925.6,18925.6,18925.6,18929.1,18929.1,18921.0,18921.0,18917.0,18917.0,18917.0,18917.0
A,KM2,L0008,AT121,3305.0,3305.0,3304.8,3305.0,3304.9,3304.8,3304.8,3304.8,3304.8,3304.8,3305.6,3305.6,3306.3,3306.3,3306.3,3305.8,3305.8,3305.8,3304.4,3304.4,3303.7,3303.7,3303.0,3303.0,3303.0,3303.0
A,KM2,L0008,AT122,3348.7,3348.7,3348.7,3348.8,3348.6,3348.6,3348.5,3348.5,3348.5,3348.5,3348.0,3348.0,3348.8,3348.8,3348.8,3348.7,3348.7,3348.7,3355.3,3355.3,3354.7,3354.7,3355.0,3355.0,3355.0,3355.0
A,KM2,L0008,AT123,1216.5,1216.5,1216.3,1216.5,1216.4,1216.4,1216.2,1216.3,1216.3,1216.3,1216.3,1216.3,1216.5,1216.5,1216.5,1216.2,1216.2,1216.2,1217.0,1217.0,1216.2,1216.2,1216.0,1216.0,1216.0,1216.0
A,KM2,L0008,AT124,4559.3,4559.3,4559.2,4558.9,4558.4,4559.6,4558.2,4557.7,4557.5,4557.5,4555.7,4555.7,4556.2,4556.2,4556.2,4554.5,4554.5,4554.5,4552.1,4552.1,4551.8,4551.8,4551.0,4551.0,4551.0,4551.0
A,KM2,L0008,AT125,2392.7,2392.7,2392.3,2391.8,2391.1,2391.3,2391.5,2391.4,2391.4,2391.4,2391.2,2391.2,2391.0,2391.0,2391.0,2390.5,2390.5,2390.5,2390.8,2390.8,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0
A,KM2,L0008,AT126,2668.7,2668.7,2668.1,2667.6,2667.2,2667.6,2666.5,2665.4,2665.9,2665.9,2665.9,2665.9,2666.5,2666.5,2666.5,2665.5,2665.5,2665.5,2664.7,2664.7,2660.9,2660.9,2660.0,2660.0,2660.0,2660.0
A,KM2,L0008,AT127,1442.3,1442.3,1442.1,1442.1,1442.0,1442.1,1442.1,1442.3,1442.9,1442.9,1442.4,1442.4,1443.2,1443.2,1443.2,1444.4,1444.4,1444.4,1444.8,1444.8,1443.8,1443.8,1444.0,1444.0,1444.0,1444.0
A,KM2,L0008,AT13,399.7,399.7,398.4,398.4,398.0,396.5,396.8,397.0,396.9,396.9,396.4,396.4,395.6,395.6,395.6,395.6,395.6,395.6,396.1,396.1,395.5,395.5,395.0,395.0,395.0,395.0
