freq,unit,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A,NR,AL,82125,77361,75425,67730,72179,72081,68358,61739,60139,57948,51242,54283,45515,47012,43022,39612,34229,33163,36251,:,:,32628,:,35750,35760,32715,31733,30869,28934,28561,28075,27211
A,NR,AL0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,35582,35036,32715,31612,30738,28819,28438,27826,27126
A,NR,AL01,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10999,10873,9960,9837,9620,8940,8909,8582,8543
A,NR,AL011,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1923,2083,1841,1787,1715,1564,1608,1541,1469
A,NR,AL012,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3548,3463,3242,3260,3270,3086,3080,3005,2976
A,NR,AL013,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1334,1254,1140,1141,1091,952,1103,870,902
A,NR,AL014,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1782,1724,1614,1576,1501,1362,1259,1300,1302
A,NR,AL015,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2412,2349,2123,2073,2043,1976,1859,1866,1894
A,NR,AL02,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14064,13800,13076,12797,12676,12510,12089,12096,11829
A,NR,AL021,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3865,3867,3318,3287,2996,2927,2768,2709,2392
A,NR,AL022,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10199,9933,9758,9510,9680,9583,9321,9387,9437
A,NR,AL03,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10519,10363,9529,8978,8442,7369,7440,7148,6754
A,NR,AL031,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1717,1685,1528,1413,1320,1184,1147,1048,1050
A,NR,AL032,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3648,3684,3347,3202,3014,2636,2600,2582,2377
A,NR,AL033,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,713,742,689,647,566,527,506,504,451
A,NR,AL034,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2440,2448,2256,2060,1956,1634,1750,1696,1647
A,NR,AL035,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2001,1804,1709,1656,1586,1388,1437,1318,1229
A,NR,ALX,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,724,124,121,131,115,123,:,:
A,NR,ALXX,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,724,124,121,131,115,123,:,:
A,NR,ALXXX,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,724,124,121,131,115,123,:,:
A,NR,AT,90454,94629,95302,95227,92415,88669,88809,84045,81233,78138,78268,75458,78399,76944,78968,78190,77914,76250,77752,76344,78742,78109,78952,79330,81722,84381,87675,87633,85535,84952,83603,86078
A,NR,AT1,35600,37200,37100,37500,36400,34885,34885,33237,32300,31500,31900,31000,32800,32500,33400,33120,33400,32679,33675,32929,34129,34315,34451,34781,35739,36780,38533,38079,37119,36819,35867,36860
A,NR,AT11,2700,2700,2600,2800,2600,2493,2461,2427,2300,2200,2200,2200,2200,2200,2200,2190,2120,2173,2215,2134,2136,2144,2155,2111,2183,2250,2305,2204,2226,2232,2100,2240
A,NR,AT111,400,400,300,400,400,348,331,312,300,300,300,300,300,300,300,270,260,283,272,291,245,289,267,264,284,279,280,266,282,231,221,234
A,NR,AT112,1400,1400,1300,1400,1300,1274,1269,1280,1200,1200,1200,1200,1100,1200,1200,1160,1130,1139,1195,1135,1188,1182,1227,1167,1217,1247,1303,1237,1287,1305,1275,1295
A,NR,AT113,900,900,900,1000,1000,871,861,835,800,700,700,800,700,700,700,750,730,751,748,708,703,673,661,680,682,724,722,701,657,696,604,711
A,NR,AT12,16500,17300,17000,17400,16700,16131,16182,15305,14700,14100,14100,13700,14200,13800,14300,14190,14170,13621,14085,13641,14004,14001,14031,13979,14296,14599,15424,15299,14855,14652,14611,15261
A,NR,AT121,3100,3200,3100,3200,3000,2861,2868,2797,2600,2500,2400,2400,2400,2400,2500,2420,2440,2244,2480,2360,2408,2339,2399,2391,2435,2446,2588,2586,2471,2446,2396,2514
A,NR,AT122,2600,2700,2800,2700,2700,2589,2548,2463,2400,2300,2300,2300,2400,2300,2300,2410,2330,2246,2266,2096,2260,2258,2257,2253,2303,2411,2443,2421,2371,2302,2408,2340
A,NR,AT123,1600,1600,1600,1600,1700,1427,1506,1418,1400,1400,1400,1300,1300,1300,1400,1380,1380,1358,1363,1223,1315,1324,1277,1353,1364,1404,1462,1792,1418,1439,1403,1504
A,NR,AT124,2600,2700,2500,2700,2500,2491,2461,2240,2200,2000,2000,1900,2100,1900,2000,1860,1840,1823,1820,1850,1689,1801,1763,1709,1691,1797,1954,1913,1809,1786,1673,1778
A,NR,AT125,1300,1300,1300,1300,1200,1187,1214,1131,1100,1100,1000,1000,1000,1000,1000,950,910,953,958,878,934,983,942,946,944,998,1047,966,958,1028,1044,1046
A,NR,AT126,2600,2800,2800,2900,2700,2648,2723,2535,2400,2400,2300,2300,2400,2300,2400,2450,2450,2375,2517,2513,2627,2574,2578,2565,2687,2702,2928,2644,2880,2817,2778,3016
A,NR,AT127,2800,3000,3000,2900,2900,2928,2862,2721,2600,2500,2600,2600,2700,2700,2700,2720,2820,2622,2681,2721,2771,2722,2815,2762,2872,2841,3002,2977,2948,2834,2909,3063
