freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20442 	20656 	22418 	21388 	22232 	21804 	21937 	27605 	30507 
A,NR,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20413 	20623 	22418 	21368 	22207 	21778 	21914 	27590 	30469 
A,NR,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5957 	6000 	6435 	6206 	6378 	6276 	6288 	7867 	8316 
A,NR,AL011	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	908 	927 	994 	936 	920 	914 	950 	1038 	1084 
A,NR,AL012	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1806 	1779 	1911 	1936 	1955 	2074 	2037 	2554 	2787 
A,NR,AL013	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	488 	494 	581 	511 	610 	502 	539 	627 	610 
A,NR,AL014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1014 	948 	1028 	997 	1018 	975 	973 	1306 	1351 
A,NR,AL015	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1741 	1852 	1921 	1823 	1875 	1811 	1789 	2342 	2484 
A,NR,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6598 	6707 	7498 	7172 	7455 	7362 	7454 	9841 	10660 
A,NR,AL021	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1936 	2052 	2151 	2076 	2206 	2188 	2065 	2712 	2865 
A,NR,AL022	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4662 	4655 	5347 	5095 	5249 	5174 	5389 	7129 	7795 
A,NR,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7858 	7916 	8455 	7990 	8374 	8140 	8172 	9882 	11493 
A,NR,AL031	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1070 	1066 	1201 	1168 	1223 	1150 	1225 	1434 	1680 
A,NR,AL032	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2328 	2225 	2521 	2311 	2500 	2484 	2405 	3112 	3593 
A,NR,AL033	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	830 	775 	786 	809 	821 	744 	752 	914 	1043 
A,NR,AL034	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2077 	2126 	2286 	2140 	2197 	2089 	2123 	2579 	2726 
A,NR,AL035	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1553 	1724 	1661 	1560 	1633 	1673 	1667 	1843 	2451 
A,NR,ALX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29 	33 	30 	20 	25 	26 	23 	: 	: 
A,NR,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29 	33 	30 	20 	25 	26 	23 	: 	: 
A,NR,ALXXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29 	33 	30 	20 	25 	: 	23 	: 	: 
A,NR,AT	82952 	83428 	83162 	82517 	80684 	81171 	80790 	79432 	78339 	78200 	76780 	74767 	76131 	77209 	74292 	75189 	74295 	74625 	75083 	77381 	77199 	76479 	79436 	79526 	78252 	83073 	80669 	83270 	83975 	83386 	91599 	91962 
A,NR,AT1	40800 	41100 	41200 	40098 	39300 	39600 	39300 	37850 	37400 	37000 	36400 	35000 	35700 	35900 	34200 	34530 	34000 	34192 	34385 	35252 	35131 	34807 	36440 	36032 	35442 	37083 	36207 	37061 	37805 	36992 	40063 	41396 
A,NR,AT11	3100 	3200 	3100 	3072 	3100 	3100 	3200 	3056 	3100 	3000 	2900 	2800 	3000 	3000 	2900 	2960 	3020 	3035 	3067 	2962 	3048 	3034 	3302 	3220 	3191 	3299 	3215 	3357 	3313 	3393 	3528 	3600 
A,NR,AT111	500 	500 	500 	430 	500 	500 	400 	459 	400 	500 	400 	400 	400 	400 	400 	450 	430 	450 	445 	385 	392 	408 	503 	492 	454 	474 	465 	460 	496 	495 	512 	520 
A,NR,AT112	1400 	1500 	1500 	1472 	1500 	1400 	1500 	1416 	1500 	1400 	1400 	1400 	1400 	1500 	1400 	1440 	1500 	1459 	1480 	1497 	1557 	1476 	1664 	1623 	1578 	1682 	1635 	1687 	1619 	1716 	1740 	1735 
A,NR,AT113	1200 	1200 	1100 	1170 	1100 	1200 	1200 	1181 	1200 	1200 	1100 	1000 	1100 	1100 	1100 	1060 	1090 	1126 	1142 	1080 	1099 	1150 	1135 	1105 	1159 	1143 	1115 	1210 	1198 	1182 	1276 	1345 
A,NR,AT12	16900 	17000 	17200 	16867 	16600 	16700 	16800 	16342 	16200 	16000 	15900 	15300 	15800 	15900 	15400 	15550 	15190 	15332 	15616 	15958 	15796 	15855 	16734 	16480 	16237 	17258 	16961 	17280 	17605 	17449 	18634 	19710 
A,NR,AT121	2300 	2300 	2300 	2272 	2300 	2200 	2300 	2180 	2200 	2200 	2200 	2100 	2100 	2200 	2100 	2140 	2110 	2142 	2119 	2253 	2229 	2202 	2257 	2233 	2253 	2308 	2430 	2365 	2439 	2425 	2635 	2784 
A,NR,AT122	2800 	2900 	2800 	2772 	2700 	2800 	2800 	2696 	2700 	2700 	2600 	2600 	2700 	2600 	2600 	2620 	2620 	2514 	2577 	2618 	2600 	2609 	2749 	2744 	2732 	2806 	2891 	2800 	2820 	2791 	3021 	3280 
