freq,sex,isced97,unit,geo,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
A,F,ED0,NR,AT,109767,109378,108754,108786,107811,106943,105033,105035,105125,106130,109413,114364,116811,116627,119021
A,F,ED0,NR,AT1,:,47438,:,46955,46250,45778,45123,45722,46101,46492,48392,51042,52618,52621,55702
A,F,ED0,NR,AT11,:,4143,:,3910,3854,3864,3653,3636,3640,3665,3751,3795,4114,3952,4061
A,F,ED0,NR,AT12,:,23988,:,23361,22978,22501,21598,21815,21596,21886,22830,23996,24610,24766,25438
A,F,ED0,NR,AT13,:,19307,:,19684,19418,19413,19872,20271,20865,20941,21811,23251,23894,23903,26203
A,F,ED0,NR,AT2,:,20217,:,19769,19840,20374,18540,18380,18573,18809,19556,20079,20221,20112,19830
A,F,ED0,NR,AT21,:,6107,:,5898,5924,6174,5831,5590,5766,5809,6194,6372,6245,6216,6146
A,F,ED0,NR,AT22,:,14110,:,13871,13916,14200,12709,12790,12807,13000,13362,13707,13977,13896,13684
A,F,ED0,NR,AT3,:,41723,:,42062,41721,40791,40400,40933,40451,40829,41465,43243,43971,43895,43490
A,F,ED0,NR,AT31,:,20544,:,20210,19895,19347,18634,18741,18688,18790,18929,20161,20516,20320,20192
A,F,ED0,NR,AT32,:,7022,:,7485,7430,7310,7086,7339,7322,7381,7482,7503,7681,7578,7552
A,F,ED0,NR,AT33,:,9285,:,9206,9240,9018,8794,8924,8902,8954,9102,9272,9294,9367,9225
A,F,ED0,NR,AT34,:,4872,:,5161,5156,5116,5886,5929,5539,5704,5952,6307,6481,6630,6521
A,F,ED0,NR,BE,:,193771,194810,195518,196001,195817,195025,201211,200947,200764,202918,206963,211330,216884,220365
A,F,ED0,NR,BE1,:,20243,20864,21193,21536,21884,22433,22433,24426,24954,25288,25758,26240,26920,27479
A,F,ED0,NR,BE10,:,20243,20864,21193,21536,21884,22433,22433,24426,24954,25288,25758,26240,26920,27479
A,F,ED0,NR,BE2,:,114031,113069,113061,112767,112092,111335,111335,109709,109743,111612,114382,117661,121405,123870
A,F,ED0,NR,BE21,:,32298,32008,32102,32284,32165,32000,32000,31484,31493,32329,33254,34251,35545,36321
A,F,ED0,NR,BE22,:,15309,15003,15111,15102,15008,14715,14715,14359,14337,14461,14748,15293,15916,16344
A,F,ED0,NR,BE23,:,26318,26261,26347,26189,26068,25861,25861,25592,25765,26315,27214,28003,28813,29502
A,F,ED0,NR,BE24,:,17791,18029,18012,18026,18098,18291,18291,18370,18585,18875,19325,19773,20247,20517
A,F,ED0,NR,BE25,:,22315,21768,21489,21166,20753,20468,20468,19904,19563,19632,19841,20341,20884,21186
A,F,ED0,NR,BE3,:,59380,60672,61079,61553,60457,61257,61257,66812,66067,66018,66823,67429,68559,69016
A,F,ED0,NR,BE31,:,6444,6409,6421,6494,6431,6505,6505,7065,7074,7025,7143,7232,7313,7368
A,F,ED0,NR,BE32,:,22790,22527,22940,23162,23328,23669,23669,25701,25273,25200,25509,25803,26304,26367
A,F,ED0,NR,BE33,:,16898,18257,18160,18202,17007,17014,17014,18781,18679,18549,18868,19091,19416,19720
A,F,ED0,NR,BE34,:,5043,5171,5272,5354,5313,5496,5496,6007,5891,6047,6146,6090,6192,6159
A,F,ED0,NR,BE35,:,8205,8308,8286,8341,8378,8573,8573,9258,9150,9197,9157,9213,9334,9402
A,F,ED0,NR,BG,106640,105836,102945,96942,96457,97169,97235,98134,99944,99834,100230,102665,105093,107919,110167
