freq,unit,geo,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,HAB_P,AT,303.47,293.51,284.65,279.37,273.54,264.92,265.39,259.52,252.43,248.10,243.08,238.01,231.65,224.74,221.25b,218.08,214.17,209.44,207.45,205.23,201.42,199.27,197.43,195.79,193.92,191.71,188.99,188.03,184.87,182.34
A,HAB_P,AT11,:,:,:,:,:,:,374.80,371.09,367.93,355.99,344.97,343.33,326.97,321.00,311.69b,304.73,294.73,284.42,275.01,267.51,265.05,265.33,258.65,251.71,246.26,238.64,230.72,227.44,223.49,222.08
A,HAB_P,AT12,:,:,:,:,:,:,328.78,316.37,303.07,290.84,282.36,271.19,263.77,257.31,252.78b,243.19,238.93,233.40,228.91,225.39,222.69,218.80,219.72,218.21,218.30,215.21,212.80,211.95,207.93,204.72
A,HAB_P,AT13,:,:,:,:,:,:,166.49,165.17,162.51,163.11,162.42,162.69,159.93,156.03,155.74b,155.36,154.01,150.91,151.31,151.08,146.41,145.89,146.79,147.32,146.58,147.74,146.16,144.43,142.09,139.90
A,HAB_P,AT21,:,:,:,:,:,:,312.37,300.82,294.14,291.75,286.32,277.57,275.42,254.71,250.47b,250.94,247.77,242.43,238.99,236.59,229.62,225.87,222.47,219.66,217.10,209.61,208.21,204.55,201.04,197.18
A,HAB_P,AT22,:,:,:,:,:,:,277.81,272.95,266.53,260.97,256.51,250.36,242.33,237.58,231.05b,226.45,221.90,216.25,214.85,212.44,209.92,206.93,201.08,200.30,196.41,193.70,192.62,192.55,190.69,188.61
A,HAB_P,AT31,:,:,:,:,:,:,348.88,338.08,325.09,316.41,307.44,300.00,288.98,278.56,273.02b,267.12,259.23,253.09,249.70,248.37,249.16,247.46,243.12,242.00,240.87,238.51,235.83,233.16,228.09,226.99
A,HAB_P,AT32,:,:,:,:,:,:,277.07,269.74,260.71,255.59,247.09,243.59,234.71,228.07,219.90b,215.09,209.35,204.54,199.09,193.44,189.64,187.56,185.18,182.88,180.28,177.59,173.68,171.17,169.69,166.45
A,HAB_P,AT33,:,:,:,:,:,:,253.40,244.42,238.36,236.25,229.17,221.17,214.45,206.95,206.21b,210.59,206.94,204.31,204.25,201.79,199.32,199.24,195.99,188.30,184.94,179.61,171.27,177.64,173.09,170.22
A,HAB_P,AT34,:,:,:,:,:,:,369.42,356.38,344.80,335.16,330.40,316.47,312.31,305.16,296.44b,286.41,282.20,278.36,276.62,272.95,261.68,251.96,247.00,243.20,239.56,231.05,232.09,230.03,227.66,224.27
A,HAB_P,BE,290.32,285.06,282.23,277.17,271.86,267.73,357.04b,353.50,351.04,349.83,350.00,348.64,348.35,346.52,344.23,342.38,341.90,343.24,342.99,340.88,338.17,336.07,331.40,325.30,324.37,319.53,316.13,311.11,307.90,:
A,HAB_P,BE10,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,275.21,268.43,267.13,266.43,263.70,261.88,261.31,257.69,256.16,251.51,250.10,:
A,HAB_P,BE21,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,411.27,410.31,406.45,402.63,396.47,383.74,380.09,373.92,368.78,362.34,358.56,:
A,HAB_P,BE22,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,445.31,435.18,434.35,425.76,417.07,404.06,401.29,396.50,389.63,381.29,378.66,:
A,HAB_P,BE23,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,377.65,374.78,371.58,367.85,362.32,355.92,355.08,346.38,341.73,336.90,333.12,:
A,HAB_P,BE24,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,274.91,270.24,265.34,262.83,258.10,251.98,251.46,248.39,244.18,242.59,240.20,:
A,HAB_P,BE25,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,419.35,415.70,412.95,407.83,403.37,393.37,393.89,389.00,381.58,376.28,373.87,:
A,HAB_P,BE31,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,211.63,208.04,205.50,205.32,201.34,200.27,196.58,194.91,190.39,186.61,183.95,:
A,HAB_P,BE32,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,400.48,398.27,399.20,400.87,397.60,392.53,395.44,391.31,394.78,388.18,385.15,:
A,HAB_P,BE33,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,297.62,295.56,294.20,293.39,289.56,285.54,284.77,280.11,278.70,273.96,268.28,:
A,HAB_P,BE34,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,455.16,451.39,441.20,446.07,445.82,436.83,438.85,438.42,432.00,418.83,416.29,:
A,HAB_P,BE35,:,:,:,:,:,:,:b,:,:,:,:,:,:,:,:,:,:,:,301.79,295.90,293.39,292.65,289.71,288.19,289.43,283.60,284.18,280.09,277.17,:
A,HAB_P,BG,297.72,300.55,289.18,282.60,290.07,289.96,290.53,296.82,294.61,283.05,276.43,281.58,271.85,270.63,270.62,272.91,266.33,265.37b,259.47,258.11,253.01,251.42,247.50,243.51,239.00,237.13,236.07,233.81,232.80,:
A,HAB_P,BG31,:,:,:,:,:,:,324.02,305.26,320.97,306.73,290.77,285.88,290.28,277.85,271.41,268.06,255.77,248.92b,245.17,245.14,241.48,238.93,237.18,234.39,228.45,226.53,222.86,221.80,216.38,:
A,HAB_P,BG32,:,:,:,:,:,:,395.94,381.40,387.18,362.22,355.24,355.55,342.73,344.02,343.54,336.34,330.45,324.11b,325.42,325.28,319.70,319.86,315.09,311.11,307.90,300.79,300.12,302.35,301.45,:
A,HAB_P,BG33,:,:,:,:,:,:,310.07,339.63,303.24,285.68,278.83,283.43,279.81,279.13,276.61,271.68,262.89,265.59b,270.22,271.95,268.31,268.16,267.20,261.34,257.77,253.71,251.41,251.85,252.64,:
A,HAB_P,BG34,:,:,:,:,:,:,357.05,332.10,349.27,335.10,327.33,323.31,325.39,325.46,326.99,325.58,313.51,304.44b,307.35,303.15,302.45,296.65,292.88,293.03,291.21,290.14,292.49,289.56,284.14,:
A,HAB_P,BG41,:,:,:,:,:,:,235.02,242.82,242.85,238.80,237.98,243.18,239.57,247.04,251.34,249.14,256.22,258.07b,250.79,251.92,240.94,241.53,234.19,230.30,226.30,225.43,224.79,213.01,215.24,:
A,HAB_P,BG42,:,:,:,:,:,:,341.35,342.09,343.56,332.52,322.11,315.22,310.36,304.66,302.89,297.54,287.80,285.81b,279.82,275.29,273.90,266.84,262.43,254.61,249.25,247.43,247.66,246.16,245.68,:
A,HAB_P,CH,:,:,:,:,:,:,:,:,:,:,269.14d,266.37d,263.25d,259.75d,259.92d,261.96b,260.91,262.66,260.90,255.38,247.52,242.38,238.26,235.26,232.68,230.49,229.90,227.85,225.43,:
A,HAB_P,CH01,:,:,:,:,:,:,:,:,:,:,215.23d,213.72d,211.51d,207.80d,211.80d,214.50b,217.80,221.36,222.59,218.15,212.41,210.28,206.83,206.10,204.45,202.23,201.60,201.01,198.51,:
A,HAB_P,CH02,:,:,:,:,:,:,:,:,:,:,300.08d,296.59d,291.75d,286.77d,286.36d,287.71b,283.09,285.10,281.55,276.94,271.82,268.05,265.41,262.06,257.38,254.66,253.01,250.91,249.75,:
A,HAB_P,CH03,:,:,:,:,:,:,:,:,:,:,252.15d,250.36d,242.07d,244.02d,243.08d,243.57b,243.34,243.27,242.91,238.33,228.62,224.08,222.72,221.46,221.18,218.99,219.32,215.98,213.43,:
A,HAB_P,CH04,:,:,:,:,:,:,:,:,:,:,218.34d,217.39d,217.32d,214.74d,213.51d,217.02b,215.31,216.15,216.15,211.71,205.37,199.55,195.70,192.02,191.37,190.66,191.79,191.83,191.04,:
A,HAB_P,CH05,:,:,:,:,:,:,:,:,:,:,359.06d,352.33d,351.46d,338.82d,336.66d,335.34b,333.11,336.68,333.97,324.95,312.46,306.04,295.53,291.93,286.28,285.85,286.08,282.16,277.86,:
A,HAB_P,CH06,:,:,:,:,:,:,:,:,:,:,396.10d,387.29d,383.35d,386.94d,379.69d,386.23b,380.98,382.63,369.91,364.81,348.73,335.89,328.63,323.38,317.77,314.27,309.92,305.25,297.94,:
A,HAB_P,CH07,:,:,:,:,:,:,:,:,:,:,300.65d,296.95d,299.82d,293.88d,298.92d,300.33b,299.49,298.34,285.65,269.71,259.69,248.72,244.54,234.97,229.01,220.95,216.07,207.71,203.34,:
A,HAB_P,CY,434.48,418.31,405.02,402.02,398.08,394.56,389.72,385.57,381.48,386.72,388.27,376.80,378.93,390.92,362.36,359.19,355.96e,345.75,336.45,331.52,312.98,296.01bd,278.29d,265.37d,258.50d,245.50d,234.06d,:,:,:
A,HAB_P,CY00,:,:,:,:,:,:,391.88,385.57,381.48,386.72,388.27,376.80,378.93,390.92,362.36,359.19,355.96e,345.75,336.45,331.52,312.98,296.01bd,278.29d,265.37d,258.50d,245.50d,234.06d,:,:,:
A,HAB_P,CZ,349.11,340.97,333.76,335.08,321.35,330.03,324.89,296.35,290.06,285.23,283.48,283.99,280.67,279.79,279.75,281.27,279.62,275.77be,270.08e,266.30e,263.97e,261.30e,258.79e,255.39e,251.48e,247.82e,245.93e,241.88e,234.97e,:
A,HAB_P,CZ01,:,:,:,:,:,:,:,:,:,:,:,149.80,148.13,145.81,145.85,148.94,148.28,147.25be,145.03e,143.39e,140.14e,138.75e,138.70e,137.08e,137.09e,135.45e,135.73e,131.11e,125.76e,:
A,HAB_P,CZ02,:,:,:,:,:,:,:,:,:,:,:,385.07,379.59,385.21,394.90,400.38,410.63,401.71be,401.82e,390.64e,392.58e,389.53e,383.03e,381.27e,380.30e,373.41e,377.53e,371.36e,364.42e,:
A,HAB_P,CZ03,:,:,:,:,:,:,:,:,:,:,:,293.91,292.99,294.02,293.67,297.86,293.98,291.27be,284.50e,280.67e,283.31e,280.39e,277.42e,274.66e,269.02e,266.41e,264.89e,259.96e,253.50e,:
A,HAB_P,CZ04,:,:,:,:,:,:,:,:,:,:,:,343.95,341.30,341.93,344.20,349.03,350.59,359.52be,350.92e,342.38e,334.61e,335.33e,331.25e,324.37e,320.09e,308.78e,308.11e,304.18e,296.19e,:
A,HAB_P,CZ05,:,:,:,:,:,:,:,:,:,:,:,323.54,319.82,320.04,316.24,317.50,315.75,315.27be,311.74e,308.79e,302.05e,298.88e,299.60e,297.88e,292.96e,289.42e,284.99e,282.54e,272.69e,:
A,HAB_P,CZ06,:,:,:,:,:,:,:,:,:,:,:,289.53,282.73,282.32,282.77,280.40,278.97,266.59be,256.98e,253.37e,253.94e,250.41e,247.74e,242.78e,237.05e,235.22e,232.22e,229.69e,224.56e,:
A,HAB_P,CZ07,:,:,:,:,:,:,:,:,:,:,:,318.59,315.68,311.91,309.88,306.74,302.48,300.62be,292.68e,289.88e,290.11e,287.15e,281.02e,277.88e,271.82e,265.00e,262.36e,256.23e,250.63e,:
A,HAB_P,CZ08,:,:,:,:,:,:,:,:,:,:,:,325.30,323.53,323.76,322.57,321.06,314.15,305.34be,298.46e,295.84e,292.87e,289.11e,284.99e,280.85e,273.52e,272.90e,266.32e,265.30e,255.29e,:
A,HAB_P,DE,343.00,334.58,327.42,322.53,320.88,316.25,312.88,308.06,303.70,301.10,298.34,296.35,294.52,290.98,286.84,282.43,276.32,266.80,257.93,253.40,247.83,243.41,241.58,238.86,235.36,231.97,227.41,223.82,220.77,:
A,HAB_P,DK,382.33,378.33,372.80,370.46,360.21,350.25,346.88,343.32,340.95,329.33,324.58,309.93,299.88,292.09,289.18,279.39,273.91,268.41,263.90,260.61,259.82,257.90,254.43,250.07,243.34,238.34,235.22,228.49,:,:
A,HAB_P,DK01,:,:,:,:,:,:,:,:,:,:,:,:,:,238.42,227.99,225.99,223.05,221.73,222.76,220.68,219.35,218.24,215.88,211.76,209.01,204.10,199.74,194.59,:,:
A,HAB_P,DK02,:,:,:,:,:,:,:,:,:,:,:,:,:,344.21,393.73,334.29,318.43,309.03,302.15,300.53,296.39,295.74,289.12,282.61,271.95,272.36,274.44,267.93,:,:
A,HAB_P,DK03,:,:,:,:,:,:,:,:,:,:,:,:,:,313.03,307.44,299.82,297.69,287.40,276.79,273.41,274.73,273.54,269.09,265.70,256.52,250.32,244.94,240.87,:,:
A,HAB_P,DK04,:,:,:,:,:,:,:,:,:,:,:,:,:,309.33,300.69,293.64,289.15,281.07,280.48,273.15,272.21,269.33,264.32,259.70,254.56,249.65,245.05,238.81,:,:
A,HAB_P,DK05,:,:,:,:,:,:,:,:,:,:,:,:,:,359.04,354.11,350.26,336.66,335.10,309.29,308.75,312.69,306.72,310.51,308.48,287.79,280.69,288.72,265.37,:,:
A,HAB_P,EE,311.80,312.50,313.33,317.61,308.74,333.37b,331.01,339.90,359.34,337.33,333.75,330.72,318.25,314.23,306.79,299.19,304.82,308.28,303.62,304.56,299.89b,297.72,292.83,289.31,288.33,287.07,288.27,:,:,:
A,HAB_P,EE00,:,:,:,:,:,:,333.63,339.90,359.34,337.33,333.75,330.72,318.25,314.23,306.79,299.19,304.82,308.28,303.62,304.56,299.89b,297.72,292.83,289.31,288.33,287.07,288.27,:,:,:
A,HAB_P,EL,260.75d,259.66d,256.36d,255.57d,247.76d,239.55d,233.32d,228.69d,226.56d,216.54d,209.25d,203.09d,197.77d,184.91d,177.61d,175.16d,172.67d,173.68d,173.12d,173.02d,172.04d,170.44d,169.43d,163.34d,164.85d,163.83d,162.31d,161.64d,158.93d,:
A,HAB_P,EL30,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,133.10d,132.65d,132.63d,123.78d,126.27d,126.27d,122.92d,121.69d,124.34d,:
A,HAB_P,EL41,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,266.55d,252.41d,268.26d,267.97d,273.28d,277.43d,312.49d,317.64d,276.29d,:
A,HAB_P,EL42,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,302.17d,307.75d,287.90d,299.45d,300.55d,288.26d,270.13d,273.12d,256.60d,:
A,HAB_P,EL43,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,163.32d,158.47d,159.35d,160.96d,157.21d,160.56d,163.76d,168.60d,162.59d,:
A,HAB_P,EL51,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,208.86d,208.50d,201.36d,200.48d,202.08d,201.22d,195.74d,194.07d,187.38d,:
A,HAB_P,EL52,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,165.29d,165.31d,163.67d,161.05d,163.21d,159.96d,162.99d,161.83d,152.81d,:
A,HAB_P,EL53,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,326.74d,335.22d,302.34d,279.08d,280.45d,281.63d,290.85d,334.21d,323.31d,:
A,HAB_P,EL54,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,167.10d,149.95d,147.53d,150.09d,149.73d,143.85d,150.01d,139.55d,136.48d,:
A,HAB_P,EL61,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,206.17d,201.50d,197.88d,195.50d,191.48d,191.84d,188.26d,193.03d,188.06d,:
A,HAB_P,EL62,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,221.15d,232.99d,229.30d,217.53d,206.65d,192.66d,190.37d,194.21d,195.79d,:
A,HAB_P,EL63,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,207.07d,207.65d,206.58d,204.83d,199.61d,203.57d,202.08d,201.83d,196.73d,:
A,HAB_P,EL64,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,333.86d,330.66d,332.81d,343.72d,348.18d,328.48d,320.27d,322.45d,301.05d,:
A,HAB_P,EL65,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,265.50d,278.37d,280.86d,262.73d,270.33d,263.19d,259.29d,252.66d,250.89d,:
