freq,unit,indic_il,deg_urb,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR,MED_E,DEG1,F,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2207 	2409 	2617 	3044 	3019 	: 
A,EUR,MED_E,DEG1,F,TOTAL,AT	16096 	16878 	18370 	18126 	17880 	18247 b	20153 	20120 	20566 	20177 b	20778 	21976 	22390 	22168 	23890 	23563 	23825 	25348 	25812 	25244 
A,EUR,MED_E,DEG1,F,TOTAL,BE	14664 	15072 	15379 	16123 	16450 	16788 	18612 	18465 	18480 	17240 b	18459 	18967 	18782 	18505 	19490 	20514 	21223 b	22525 	22827 	23995 
A,EUR,MED_E,DEG1,F,TOTAL,BG	: 	: 	: 	1613 	1677 	2592 	3277 	3731 	3637 	3389 b	3617 	3992 	4010 	3856 b	4368 	4238 	4921 	5357 	5842 	6145 
A,EUR,MED_E,DEG1,F,TOTAL,CH	: 	: 	: 	: 	28030 	27359 	29021 	30666 	33726 	38028 b	39115 	38002 b	39174 	42942 	43155 	43157 	40423 	43145 	44583 	46023 
A,EUR,MED_E,DEG1,F,TOTAL,CY	: 	: 	13833 	15040 	16487 	17016 b	17036 	17136 	17613 	17857 b	16792 	15292 	15189 	15519 	15975 	16649 	17618 	17672 	17748 	19055 
A,EUR,MED_E,DEG1,F,TOTAL,CZ	: 	: 	4360 	4969 	5732 	6211 	7717 	7496 	7723 	8143 b	8063 	7935 	7664 	7843 	8277 	9105 	10138 	10957 	11280 	12550 
A,EUR,MED_E,DEG1,F,TOTAL,DE	: 	: 	16474 	15493 	17571 	18219 	18499 	18839 	18964 	18678 b	18847 	18963 	19877 	20400 	21012 	21480 	22135 	25010 b	24051 	24448 
A,EUR,MED_E,DEG1,F,TOTAL,DK	20842 	20972 	21551 	22117 	23349 	23532 	24835 	25227 	27223 b	26737 b	26179 	27599 	27464 	27771 	29766 	29637 	30412 	30175 b	31366 	33067 
A,EUR,MED_E,DEG1,F,TOTAL,EA	: 	: 	: 	: 	: 	17123 e	17480 e	17758 e	17592 e	17427 e	17467 e	17522 e	17793 e	18251 e	18799 e	19156 e	19323 	20536 b	20467 	: 
A,EUR,MED_E,DEG1,F,TOTAL,EA18	: 	: 	14695 	14748 	15537 	16879 	17352 	17621 	17504 	17334 	17383 	17522 	17914 	18367 	18910 	19264 	19430 	20640 b	: 	: 
A,EUR,MED_E,DEG1,F,TOTAL,EA19	: 	: 	14576 	14636 	15432 	16769 	17246 	17507 	17390 	17215 	17266 	17404 	17793 	18251 	18799 	19156 	19323 	20536 b	20467 	: 
A,EUR,MED_E,DEG1,F,TOTAL,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17429 	17701 	18155 	18701 	19056 	19221 	20433 	20366 	20992 
A,EUR,MED_E,DEG1,F,TOTAL,EE	: 	2685 	3203 	3795 	4523 	5747 	6491 	6045 	5799 	6450 b	7074 	7727 b	8497 	9174 	10160 	10600 	11375 	12144 	12868 	15028 
A,EUR,MED_E,DEG1,F,TOTAL,EL	9432 	10035 	10625 	10800 	11400 	12177 	12381 	13476 	11667 	10189 b	8667 	8384 	8198 	8150 	8297 	8374 	8966 	9684 	9489 	10120 
A,EUR,MED_E,DEG1,F,TOTAL,ES	: 	11458 	11352 	12052 	12607 	15052 b	15880 	16023 	15441 	15145 b	15082 	14602 	14595 	14673 	15327 	16006 	16235 	17268 	16981 	17651 
A,EUR,MED_E,DEG1,F,TOTAL,EU	: 	: 	: 	: 	: 	15309 e	15310 e	15467 e	15501 e	15830 e	15813 e	16209 e	16543 e	17009 e	17463 e	17859 e	18018 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,TOTAL,EU27_2007	: 	: 	13243 e	13754 e	14727 	15309 	15310 	15519 	15558 	15887 	15866 	16264 	16597 	17067 	17520 	17918 	18077 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	: 	15333 e	15359 e	15272 e	15445 e	15594 e	15859 e	16315 e	16886 e	17272 e	17443 e	18594 b	18641 	19316 
A,EUR,MED_E,DEG1,F,TOTAL,EU28	: 	: 	: 	: 	: 	: 	: 	15467 	15501 	15827 	15813 	16209 	16543 	17009 	17463 	17859 	18018 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,TOTAL,FI	: 	17995 	18401 	18987 	19781 	21081 	22235 	23005 	22953 	24027 b	23762 	24328 	24476 	24599 	24975 	25477 	25454 	26165 	25424 	26919 
A,EUR,MED_E,DEG1,F,TOTAL,FR	: 	15389 	16278 	16510 	16379 	18981 b	19700 	19824 	19891 	21075 b	21252 	21452 	21871 	22379 	22535 	22566 	22515 	21604 b	22296 	22538 b
A,EUR,MED_E,DEG1,F,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	6792 	6256 	6227 b	6276 	5805 	6386 	6613 	7168 	7658 	8268 	8628 	9119 	9627 
A,EUR,MED_E,DEG1,F,TOTAL,HU	: 	: 	4057 	4475 	4480 	4935 	5443 	4944 	5266 	5359 b	5131 	5215 	5518 	5710 	5755 	5860 	6302 	7169 	7424 	7316 
A,EUR,MED_E,DEG1,F,TOTAL,IE	18494 	19657 	20925 	22644 	24547 	26134 	24466 	23424 	21788 	22770 b	22507 	22480 	23361 	24769 	25319 	27076 	26837 	29135 b	30360 	31068 
A,EUR,MED_E,DEG1,F,TOTAL,IS	: 	22457 	24137 	29702 	29930 	34200 	23024 	18633 	19298 	19328 b	21344 	22884 	25177 	29422 	34807 	40479 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,TOTAL,IT	: 	13997 	14532 	14800 	15130 	15828 	15713 	16254 	16203 	16155 	15924 	16149 	16245 b	16610 	16860 	17120 	17151 	18273 	17840 	18709 
A,EUR,MED_E,DEG1,F,TOTAL,LT	: 	: 	2527 	3088 	3840 	4845 	5655 	4724 	4457 	5064 b	5325 	5568 	6155 	6772 	7415 	7884 	8721 	9373 	10767 	11009 
A,EUR,MED_E,DEG1,F,TOTAL,LU	24257 	25171 	26235 	27148 	26849 	27745 	28358 	29337 	29586 	35342 b	33803 	36803 	36853 	35435 b	39992 	36636 	38479 	43067 b	51678 b	55292 b
A,EUR,MED_E,DEG1,F,TOTAL,LV	: 	: 	2376 	2990 	3883 	5320 	5750 	4918 	4502 	4646 b	5075 	5610 	6358 	6857 	7240 	7974 	8676 	9120 	9483 	10597 
A,EUR,MED_E,DEG1,F,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2502 	2670 	2722 	2976 	3231 	: 	: 
A,EUR,MED_E,DEG1,F,TOTAL,MT	: 	: 	8455 	8901 	9146 	9724 	10219 	10198 	10544 	11149 b	11824 	12610 	13361 	13523 	14249 	14520 	15060 	16078 	15686 	16013 
A,EUR,MED_E,DEG1,F,TOTAL,NL	: 	: 	16911 	17156 	18316 	19576 	20221 	20377 	20357 	20023 b	20282 	20712 	20598 	22000 b	23037 	23183 	23932 	24893 	27521 	28411 
A,EUR,MED_E,DEG1,F,TOTAL,NO	: 	27005 	26065 	28367 	29457 	32330 	34461 	33318 	37518 	41206 b	43993 	: 	41604 	39025 	37807 	38778 	39073 	40963 	35132 b	39161 
A,EUR,MED_E,DEG1,F,TOTAL,PL	: 	: 	2954 	3700 	4143 	4903 	5995 	5117 	5859 	5972 b	5999 	6233 	6489 	6761 	6840 	7306 	8045 	8933 	9189 	9977 
A,EUR,MED_E,DEG1,F,TOTAL,PT	: 	7920 	8343 	8275 	8437 	9202 	9253 	9749 	9377 	9222 b	8840 	8957 	8985 	9424 	9768 	10076 	10733 	12048 	12044 	12161 
A,EUR,MED_E,DEG1,F,TOTAL,RO	: 	: 	: 	: 	2193 	2694 	2892 	2742 	2783 	2794 b	2537 	2953 	2952 	3323 	3772 	4697 	5351 	5866 	6774 	7315 
A,EUR,MED_E,DEG1,F,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3076 	3068 	3079 	2921 	2953 	3198 	3904 	4217 	4659 	5139 
A,EUR,MED_E,DEG1,F,TOTAL,SE	: 	17983 	18036 	19414 	20056 	21081 b	21736 	19080 	21407 	24351 b	25142 	25601 	24848 	25005 	26105 	26517 	24760 	25093 	25821 	27155 
A,EUR,MED_E,DEG1,F,TOTAL,SI	: 	: 	9333 	9893 	10840 	11667 	12509 	12453 	12756 	12630 b	11883 	12300 	12649 	12534 	12866 	13433 	14139 	14525 	15762 	16168 
A,EUR,MED_E,DEG1,F,TOTAL,SK	: 	: 	3016 	3698 	4331 	5319 	6570 	7123 	7202 	7844 b	7382 	7397 	7477 	7777 	7879 	8454 	8988 	9558 	9305 	9807 
A,EUR,MED_E,DEG1,F,TOTAL,UK	: 	: 	17758 	18568 	20273 	18244 	15468 	16160 	16312 	18553 b	17659 	19217 	19788 	20142 	20076 b	20564 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2306 	2529 	2669 	3278 	3285 	: 
A,EUR,MED_E,DEG1,F,Y18-64,AT	16433 	17279 	19004 	18638 	18387 	19759 b	21287 	21058 	21014 	20516 b	21315 	22646 	22827 	22343 	23990 	24160 	24514 	25724 	26326 	26164 
A,EUR,MED_E,DEG1,F,Y18-64,BE	15844 	16508 	16904 	17548 	17889 	18038 	20098 	19622 	20306 	19200 b	20011 	20472 	19444 	19438 	19796 	21584 	22726 b	24396 	24350 	26337 
A,EUR,MED_E,DEG1,F,Y18-64,BG	: 	: 	: 	1765 	1825 	2845 	3609 	3891 	3932 	3633 b	3927 	4324 	4437 	4261 b	4872 	4797 	5544 	6153 	6559 	7103 
A,EUR,MED_E,DEG1,F,Y18-64,CH	: 	: 	: 	: 	30586 	30113 	32708 	33342 	37138 	40976 b	42842 	40257 b	41114 	46227 	45998 	44818 	42620 	46972 	48037 	49442 
A,EUR,MED_E,DEG1,F,Y18-64,CY	: 	: 	14866 	16218 	17533 	18324 b	18163 	18290 	18820 	18838 b	17638 	16157 	15934 	16304 	16869 	17112 	18598 	18260 	18752 	20112 
A,EUR,MED_E,DEG1,F,Y18-64,CZ	: 	: 	4884 	5440 	6255 	6720 	8288 	8026 	8358 	8705 b	8490 	8458 	8394 	8731 	9241 	10178 	11253 	12111 	12454 	14114 
A,EUR,MED_E,DEG1,F,Y18-64,DE	: 	: 	17126 	16060 	18798 	19360 	19609 	19828 	19965 	19309 b	19503 	19777 	20565 	21519 	22128 	22761 	23607 	26178 b	25422 	25849 
A,EUR,MED_E,DEG1,F,Y18-64,DK	22225 	22619 	23386 	23683 	24519 	24629 	26444 	27455 	28846 b	28185 b	26951 	28796 	28309 	28629 	29997 	29983 	30717 	30653 b	32194 	33919 
A,EUR,MED_E,DEG1,F,Y18-64,EA	: 	: 	: 	: 	: 	18116 e	18450 e	18641 e	18392 e	18010 e	17938 e	18008 e	18316 e	18827 e	19450 e	19867 e	20118 	21379 b	21380 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EA18	: 	: 	15491 	15498 	16472 	17846 	18320 	18501 	18303 	17918 	17857 	18008 	18429 	18933 	19555 	19968 	20218 	21477 b	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EA19	: 	: 	15362 	15375 	16355 	17727 	18206 	18377 	18183 	17797 	17742 	17895 	18316 	18827 	19450 	19867 	20118 	21379 b	21380 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17916 	18223 	18730 	19350 	19768 	20018 	21279 	21271 	21961 
A,EUR,MED_E,DEG1,F,Y18-64,EE	: 	3009 	3589 	4344 	5015 	6311 	7152 	6510 	6228 	7176 b	7658 	8952 b	9782 	10542 	11526 	12012 	12940 	13525 	14628 	18091 
A,EUR,MED_E,DEG1,F,Y18-64,EL	9894 	10400 	10961 	11449 	11951 	12762 	12875 	14000 	12000 	10005 b	8693 	8400 	8240 	8210 	8324 	8500 	9200 	9769 	9560 	10200 
A,EUR,MED_E,DEG1,F,Y18-64,ES	: 	12171 	12342 	13190 	13546 	16275 b	16976 	17198 	16330 	15784 b	15625 	15048 	15166 	15125 	15905 	16517 	16931 	17859 	17504 	18004 
