freq,unit,geo\TIME_PERIOD,2015,2016,2017,2018,2019,2020,2021,2022
A,PC,AL,:,:,51.2,46.7,42.5,38.9,39.0,:
A,PC,AL01,:,:,55.3,48.6,48.3,37.6,39.6,:
A,PC,AL02,:,:,50.4,47.0,40.4,38.1,38.9,:
A,PC,AL03,:,:,48.5,44.6,39.8,41.2,38.6,:
A,PC,AT,2.9,3.3,3.4,2.8,2.7,3.0,1.8,2.3
A,PC,AT1,:,:,:,:,:,:,2.4,2.8
A,PC,AT11,:,:,:,:,:,:,0.5,1.2
A,PC,AT12,:,:,:,:,:,:,1.5,1.6
A,PC,AT13,:,:,:,:,:,:,3.4,4.1
A,PC,AT2,:,:,:,:,:,:,2.0,2.9
A,PC,AT21,:,:,:,:,:,:,1.8,2.2
A,PC,AT22,:,:,:,:,:,:,2.0,3.2
A,PC,AT3,:,:,:,:,:,:,1.1,1.3
A,PC,AT31,:,:,:,:,:,:,0.6,0.7
A,PC,AT32,:,:,:,:,:,:,0.8,0.5
A,PC,AT33,:,:,:,:,:,:,1.2,1.7
A,PC,AT34,:,:,:,:,:,:,3.4,3.6
A,PC,BE,7.2,8.4,7.2,6.5,6.3b,6.7,6.3,5.8
A,PC,BE1,:,:,:,:,13.7b,13.5,11.5,11.6
A,PC,BE10,:,:,:,:,:,:,11.5,11.6
A,PC,BE2,:,:,:,:,3.6b,3.9,4.4,3.2
A,PC,BE21,:,:,:,:,:,:,6.6,4.5
A,PC,BE22,:,:,:,:,:,:,4.5,3.3
A,PC,BE23,:,:,:,:,:,:,4.9,4.0
A,PC,BE24,:,:,:,:,:,:,3.6,2.5
A,PC,BE25,:,:,:,:,:,:,0.9,1.0
A,PC,BE3,:,:,:,:,8.6b,9.5,8.0,8.7
A,PC,BE31,:,:,:,:,:,:,11.2,12.2
A,PC,BE32,:,:,:,:,:,:,11.2,11.6
A,PC,BE33,:,:,:,:,:,:,4.7,5.3
A,PC,BE34,:,:,:,:,:,:,5.4,6.5
A,PC,BE35,:,:,:,:,:,:,5.5,6.4
A,PC,BG,36.8,33.5b,30.0,22.3,22.1,22.1,19.1,18.7
A,PC,BG3,39.1,37.9b,33.9,24.8,25.7,26.0,21.8,20.1
A,PC,BG31,33.0,36.0b,35.8,24.5,26.0,26.1,20.8,19.3
A,PC,BG32,41.3,40.4b,33.1,24.4,27.2,27.9,22.1,22.8
A,PC,BG33,40.4,38.2b,33.2,22.2,21.4,20.1,17.6,15.1
A,PC,BG34,40.9,37.1b,33.7,27.7,28.3,29.7,26.0,23.2
A,PC,BG4,34.4,29.1b,26.0,19.7,18.6,18.4,16.5,17.4
A,PC,BG41,28.3,23.3b,19.8,14.9,14.1,12.7,11.5,11.1
A,PC,BG42,43.4,37.8b,35.1,26.8,25.2,26.9,23.8,26.9
A,PC,CH,2.0,2.0,1.9,2.1,3.2,1.6,1.8,2.2
A,PC,CH01,2.1,2.5,3.6,2.0,5.0,1.9,2.8,1.9
A,PC,CH02,1.6,2.2,1.6,1.5,1.6,1.8,2.0,2.4
A,PC,CH03,2.2,2.6,1.9,2.7,6.9,1.7,2.1,4.4
A,PC,CH04,3.2,1.9,1.0,1.6,1.7,0.5,0.9,1.6
A,PC,CH05,0.7,0.5,1.6,3.0,3.3,1.5,1.3,1.5
A,PC,CH06,1.9,1.0,0.3,0.6,0.7,2.1,1.6,0.9
A,PC,CH07,2.2,5.8,4.5,6.6,3.8,3.9,1.7,2.4
A,PC,CY,7.9,6.6,6.1,3.8,3.2,3.2,2.6,2.7
A,PC,CZ,4.5,3.5,3.4,2.4,2.1,1.9,1.8,2.1
A,PC,CZ01,3.7,3.3,4.3,2.7,2.4,2.3,1.6,1.9
A,PC,CZ02,3.0,2.5,2.9,1.3,1.3,1.6,0.8,0.8
A,PC,CZ03,2.4,2.8,1.5,1.1,1.1,0.7,1.2,1.7
A,PC,CZ04,9.9,7.1,7.8,6.9,4.7,2.0,4.2,5.4
A,PC,CZ05,2.1,1.9,1.9,1.9,1.3,1.6,1.3,1.4
A,PC,CZ06,3.2,2.3,2.2,1.8,2.0,2.0,1.7,1.8
A,PC,CZ07,3.9,2.7,1.5,1.1,0.7,1.7,1.0,1.4
A,PC,CZ08,9.3,6.5,6.2,3.5,3.7,3.0,2.9,2.9
A,PC,DE,5.7,4.7,3.7,3.4,3.0,4.4b,4.3,6.1
A,PC,DE1,:,:,:,:,:,:,3.4,5.3
A,PC,DE11,:,:,:,:,:,:,3.4,5.3
A,PC,DE12,:,:,:,:,:,:,3.3,6.0
A,PC,DE13,:,:,:,:,:,:,3.2,4.3
