freq,unit,c_unload,c_load,geo\TIME_PERIOD	2005 	2010 	2015 	2020 
A,PAS,AT11,CH02,CH	: 	: c	: 	: 
A,PAS,AT11,CH04,CH	: 	: c	: 	: 
A,PAS,AT11,CH05,CH	: 	: c	: c	: c
A,PAS,AT11,CZ01,CZ	10 	90 	201 	5 
A,PAS,AT11,CZ02,CZ	: 	: 	1 	1 
A,PAS,AT11,CZ03,CZ	: 	: 	16 	2 
A,PAS,AT11,CZ04,CZ	: 	: 	1 	: 
A,PAS,AT11,CZ05,CZ	: 	10 	8 	: 
A,PAS,AT11,CZ06,CZ	20 	40 	79 	50 
A,PAS,AT11,CZ07,CZ	: 	: 	7 	12 
A,PAS,AT11,CZ08,CZ	10 	: 	20 	7 
A,PAS,AT11,DE11,DE	50 	: 	: 	: 
A,PAS,AT11,DE12,DE	44 	: 	: 	: 
A,PAS,AT11,DE13,DE	13 	: 	: 	: 
A,PAS,AT11,DE14,DE	28 	: 	: 	: 
A,PAS,AT11,DE21,DE	112 	: 	: 	: 
A,PAS,AT11,DE22,DE	7 	: 	: 	: 
A,PAS,AT11,DE23,DE	15 	: 	: 	: 
A,PAS,AT11,DE24,DE	9 	: 	: 	: 
A,PAS,AT11,DE25,DE	10 	: 	: 	: 
A,PAS,AT11,DE26,DE	25 	: 	: 	: 
A,PAS,AT11,DE27,DE	18 	: 	: 	: 
A,PAS,AT11,DE30,DE	6 	: 	: 	: 
A,PAS,AT11,DE42,DE	2 	: 	: 	: 
A,PAS,AT11,DE50,DE	3 	: 	: 	: 
A,PAS,AT11,DE60,DE	3 	: 	: 	: 
A,PAS,AT11,DE71,DE	26 	: 	: 	: 
A,PAS,AT11,DE72,DE	9 	: 	: 	: 
A,PAS,AT11,DE73,DE	4 	: 	: 	: 
A,PAS,AT11,DE80,DE	3 	: 	: 	: 
A,PAS,AT11,DE91,DE	4 	: 	: 	: 
A,PAS,AT11,DE92,DE	13 	: 	: 	: 
A,PAS,AT11,DE93,DE	4 	: 	: 	: 
A,PAS,AT11,DE94,DE	10 	: 	: 	: 
A,PAS,AT11,DEA2,DE	10 	: 	: 	: 
A,PAS,AT11,DEA3,DE	2 	: 	: 	: 
A,PAS,AT11,DEA5,DE	10 	: 	: 	: 
A,PAS,AT11,DEB1,DE	12 	: 	: 	: 
A,PAS,AT11,DEB3,DE	9 	: 	: 	: 
A,PAS,AT11,DEC0,DE	2 	: 	: 	: 
A,PAS,AT11,DED1,DE	6 	: 	: 	: 
A,PAS,AT11,DED2,DE	6 	: 	: 	: 
A,PAS,AT11,DED3,DE	4 	: 	: 	: 
A,PAS,AT11,DEE1,DE	2 	: 	: 	: 
A,PAS,AT11,DEE2,DE	2 	: 	: 	: 
A,PAS,AT11,DEE3,DE	3 	: 	: 	: 
A,PAS,AT11,DEG0,DE	2 	: 	: 	: 
A,PAS,AT11,HR03,HR	: 	: 	: 	2 
A,PAS,AT11,HR05,HR	: 	: 	: 	2 
A,PAS,AT11,HU10,HU	79 	801 	: c	: 
A,PAS,AT11,HU11,HU	: 	: 	: 	: c
A,PAS,AT11,HU12,HU	: 	: 	: 	: c
A,PAS,AT11,HU21,HU	: 	11 	: c	: 
A,PAS,AT11,HU22,HU	3937 	167 	: c	: c
A,PAS,AT11,HU23,HU	: 	82 	: c	: c
A,PAS,AT11,HU31,HU	: 	: 	: c	: c
A,PAS,AT11,HU32,HU	: 	: 	: c	: c
A,PAS,AT11,HU33,HU	: 	52 	: c	: c
A,PAS,AT11,ITC4,IT	: c	: 	: 	: 
A,PAS,AT11,ITD3,IT	: c	: 	: 	: 
A,PAS,AT11,ITD4,IT	: c	: 	: 	: 
A,PAS,AT11,ITH1,IT	: 	: 	: 	: c
A,PAS,AT11,PL12,PL	4 	2 	: 	: 
A,PAS,AT11,SI,SI	55 	: 	: 	: 
A,PAS,AT11,SI01,SI	: 	2 	: 	: 
A,PAS,AT11,SI03,SI	: 	: 	2 	3 
A,PAS,AT11,SI04,SI	: 	: 	40 	6 
A,PAS,AT11,SK01,SK	12681 	20506 	24730 	16595 
A,PAS,AT11,SK02,SK	12 	11 	22 	8 
A,PAS,AT11,SK03,SK	5 	: 	: 	: 
A,PAS,AT11,SK04,SK	8 	19 	14 	5 
A,PAS,AT12,AT12,AT	: 	: 	: c	: 
A,PAS,AT12,AT13,AT	: 	: 	: c	: 
A,PAS,AT12,AT31,AT	: 	: 	: c	: 
A,PAS,AT12,AT32,AT	: 	: 	: c	: 
A,PAS,AT12,BE21,BE	2 	: 	: c	: 
A,PAS,AT12,BE33,BE	2 	: 	: c	: 
A,PAS,AT12,CH01,CH	: 	: 	: c	: c
A,PAS,AT12,CH02,CH	: 	: c	: c	: c
A,PAS,AT12,CH03,CH	: 	: c	: c	: c
A,PAS,AT12,CH04,CH	: 	: c	: c	: c
A,PAS,AT12,CH05,CH	: 	: c	: c	: c
A,PAS,AT12,CH06,CH	: 	: c	: c	: c
A,PAS,AT12,CZ01,CZ	480 	1360 	4071 	2103 
A,PAS,AT12,CZ02,CZ	10 	10 	28 	22 
A,PAS,AT12,CZ03,CZ	370 	1840 	2375 	1554 
A,PAS,AT12,CZ04,CZ	30 	10 	71 	42 
A,PAS,AT12,CZ05,CZ	40 	80 	190 	399 
A,PAS,AT12,CZ06,CZ	9540 	7610 	11309 	7252 
A,PAS,AT12,CZ07,CZ	310 	210 	505 	894 
A,PAS,AT12,CZ08,CZ	290 	180 	303 	594 
A,PAS,AT12,DE11,DE	1061 	: 	: 	: 
A,PAS,AT12,DE12,DE	477 	: 	: 	: 
A,PAS,AT12,DE13,DE	283 	: 	: 	: 
A,PAS,AT12,DE14,DE	464 	: 	: 	: 
A,PAS,AT12,DE21,DE	4083 	: 	: 	: 
A,PAS,AT12,DE22,DE	165 	: 	: 	: 
A,PAS,AT12,DE23,DE	342 	: 	: 	: 
A,PAS,AT12,DE24,DE	100 	: 	: 	: 
A,PAS,AT12,DE25,DE	579 	: 	: 	: 
A,PAS,AT12,DE26,DE	422 	: 	: 	: 
A,PAS,AT12,DE27,DE	438 	: 	: 	: 
A,PAS,AT12,DE30,DE	330 	: 	: 	: 
A,PAS,AT12,DE41,DE	12 	: 	: 	: 
A,PAS,AT12,DE42,DE	19 	: 	: 	: 
A,PAS,AT12,DE50,DE	93 	: 	: 	: 
A,PAS,AT12,DE60,DE	258 	: 	: 	: 
A,PAS,AT12,DE71,DE	752 	: 	: 	: 
A,PAS,AT12,DE72,DE	107 	: 	: 	: 
A,PAS,AT12,DE73,DE	245 	: 	: 	: 
A,PAS,AT12,DE80,DE	28 	: 	: 	: 
A,PAS,AT12,DE91,DE	208 	: 	: 	: 
A,PAS,AT12,DE92,DE	228 	: 	: 	: 
A,PAS,AT12,DE93,DE	75 	: 	: 	: 
A,PAS,AT12,DE94,DE	112 	: 	: 	: 
A,PAS,AT12,DEA1,DE	376 	: 	: 	: 
A,PAS,AT12,DEA2,DE	385 	: 	: 	: 
A,PAS,AT12,DEA3,DE	99 	: 	: 	: 
A,PAS,AT12,DEA4,DE	99 	: 	: 	: 
A,PAS,AT12,DEA5,DE	183 	: 	: 	: 
A,PAS,AT12,DEB1,DE	214 	: 	: 	: 
A,PAS,AT12,DEB2,DE	50 	: 	: 	: 
A,PAS,AT12,DEB3,DE	236 	: 	: 	: 
