vehicle,unit,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BUS_TOT,NR,AL,7867,7627,7535,7146,6583,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,AL0,7867,7627,7535,7146,6583,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,AL01,2397,2179,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,AL02,3198,3283,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,AL03,2272,2165,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,AT,10136,10064,10148,10037,9956,9825,9679,9585,10000,10000,10000,10000,9000,9400,9300,9300,9300,9400,9200,9200,9900,9900,9800,9700,9700,9000,9000,9500,9600,9900,9400,9400
BUS_TOT,NR,AT1,5451,5371,5338,5226,5189,5080,4987,4957,5000,5000,5000,5000,5000,4900,4900,4800,4800,5000,4900,4900,5200,5200,5200,5200,5300,4000,4000,5200,5300,5200,5200,5200
BUS_TOT,NR,AT11,298,312,347,335,327,328,335,317,0,0,0,0,0,400,400,300,300,300,400,400,400,400,400,400,400,0,0,400,400,400,400,400
BUS_TOT,NR,AT12,1062,1060,1082,1028,1058,1017,1008,990,1000,1000,1000,1000,1000,900,900,1000,1000,1000,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
BUS_TOT,NR,AT13,4091,3999,3909,3863,3804,3735,3644,3650,4000,4000,4000,4000,4000,3600,3600,3500,3500,3700,3600,3600,3700,3800,3800,3800,3900,3000,3000,3800,3900,3800,3800,3800
BUS_TOT,NR,AT2,1465,1487,1520,1551,1549,1538,1495,1505,1000,2000,2000,2000,1000,1500,1500,1600,1600,1600,1600,1500,1800,1700,1700,1700,1700,1000,1000,1600,1600,1500,1500,1500
BUS_TOT,NR,AT21,397,389,396,399,388,393,399,386,0,1000,1000,1000,0,400,400,400,400,400,400,400,400,400,400,400,400,0,0,400,400,400,400,400
BUS_TOT,NR,AT22,1068,1098,1124,1152,1161,1145,1096,1119,1000,1000,1000,1000,1000,1100,1100,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1000,1000,1200,1200,1100,1100,1100
BUS_TOT,NR,AT3,3220,3206,3290,3260,3218,3207,3197,3123,3000,3000,3000,3000,3000,3000,2900,2900,2900,2800,2800,2700,3000,3000,2900,2800,2800,3000,3000,2700,2700,2700,2700,2700
BUS_TOT,NR,AT31,1370,1371,1372,1358,1341,1345,1352,1319,1000,1000,1000,1000,1000,1300,1200,1200,1200,1200,1200,1100,1200,1200,1100,1100,1100,1000,1000,1100,1100,1100,1100,1100
BUS_TOT,NR,AT32,502,492,538,547,526,531,525,523,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,600,600,600,500,500,1000,1000,500,500,500,500,500
BUS_TOT,NR,AT33,1016,1015,1039,1016,1008,994,989,946,1000,1000,1000,1000,1000,900,900,900,900,800,800,800,900,900,900,800,800,1000,1000,800,800,800,800,800
BUS_TOT,NR,AT34,332,328,341,339,343,337,331,335,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,0,0,300,300,300,300,300
BUS_TOT,NR,BE,16603,16405,16486,16096,16033,16040,16094,15976,15800,16000,16100,16200,16100,16000,15500,15300,15400,15300,15100,14800,14700,14700,14700,14600,14700,14700,14700,14900,14800,14900,15300,15200
BUS_TOT,NR,BE1,2109,2032,1968,2001,2060,2033,1980,1802,1800,1800,1800,1800,1700,1700,1800,1900,2100,2200,2300,2300,2300,2300,2400,2400,2500,2500,2900,3600,3600,4600,4900,6400
BUS_TOT,NR,BE10,2109,2032,1968,2001,2060,2033,1980,1802,1800,1800,1800,1800,1700,1700,1800,1900,2100,2200,2300,2300,2300,2300,2400,2400,2500,2500,2900,3600,3600,4600,4900,6400
BUS_TOT,NR,BE2,9056,9079,9099,9106,9094,9052,9133,9253,9100,9100,9300,9300,9300,9300,9000,8700,8600,8500,8300,8000,8000,7900,7900,7800,7900,8000,7600,7200,7200,6700,6900,6000
BUS_TOT,NR,BE21,3942,3945,3835,3858,3928,3892,3933,4126,3900,4000,4000,4000,4000,4100,3800,3700,3700,3600,3400,3300,3300,3200,3100,3100,3000,2900,2600,2100,2100,1900,1800,1900
BUS_TOT,NR,BE22,1201,1230,1236,1252,1217,1208,1231,1203,1200,1200,1200,1200,1200,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1100,1200,1300
BUS_TOT,NR,BE23,1471,1447,1497,1434,1397,1391,1402,1406,1500,1500,1500,1600,1600,1500,1500,1400,1300,1300,1300,1300,1300,1300,1300,1400,1400,1500,1400,1500,1500,1500,1600,1600
BUS_TOT,NR,BE24,1176,1178,1264,1295,1297,1327,1296,1209,1200,1200,1300,1300,1300,1300,1300,1300,1200,1100,1200,1100,1100,1200,1100,1100,1200,1200,1200,1200,1200,1100,1200,:
BUS_TOT,NR,BE25,1266,1279,1267,1267,1255,1234,1271,1309,1300,1300,1300,1200,1200,1200,1200,1200,1200,1100,1200,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1100,1100,1200
BUS_TOT,NR,BE3,5438,5294,5419,4989,4879,4955,4981,4921,4900,5000,5000,5200,5100,5000,4600,4700,4700,4500,4600,4500,4400,4500,4400,4400,4400,4300,4000,4100,4000,3000,3100,2800
BUS_TOT,NR,BE31,521,491,482,572,539,551,613,621,600,600,600,700,700,500,500,500,500,400,400,400,400,400,400,400,400,400,300,400,300,200,200,:
BUS_TOT,NR,BE32,1146,1162,1307,1773,1741,1758,1721,1671,1700,1700,1700,1700,1600,1600,1500,1600,1600,1500,1500,1400,1400,1400,1400,1400,1400,1300,1300,1300,1300,1000,1000,1000
BUS_TOT,NR,BE33,947,956,974,1483,1452,1456,1494,1464,1500,1500,1500,1500,1500,1300,1200,1200,1200,1200,1200,1200,1200,1300,1300,1200,1300,1300,1300,1400,1400,1200,1300,1200
BUS_TOT,NR,BE34,440,420,359,305,296,342,316,315,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
BUS_TOT,NR,BE35,2384,2265,2297,856,851,848,837,850,900,900,900,1000,1000,1200,1100,1100,1100,1100,1200,1200,1200,1200,1100,1100,1100,1000,800,700,700,300,300,300
BUS_TOT,NR,BG,17731,19450,20687,20818,21020,23359,24010,23603,23300,23000,24000,25000,25000,25000,24000,23000b,38000,37000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG3,8595,9477,9906,9997,10112,11268,11518,11179,11000,11000,11000,11000,11000,11000,11000,11000b,20000,19000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG31,1614,1698,1831,1824,1824,2046,2089,2022,2000,2000,2000,2000,2000,2000,2000,2000b,4000,4000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG32,1796,1887,1964,1999,2020,2209,2165,2118,2100,2000,2000,2000,2000,2000,2000,2000b,4000,4000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG33,2134,2479,2571,2605,2663,2992,3155,3083,3000,3000,3000,3000,3000,3000,3000,3000b,6000,5000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG34,3051,3413,3540,3569,3605,4021,4109,3956,3900,4000,4000,4000,4000,4000,4000,4000b,6000,6000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG4,9136,9973,10781,10821,10908,12091,12492,12424,12300,12000,13000,14000,14000,14000,13000,12000b,19000,17000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG41,5562,6197,6767,6757,6841,7674,7926,7986,8000,8000,9000,10000,10000,10000,9000,8000b,12000,11000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,BG42,3574,3776,4014,4064,4067,4417,4566,4438,4300,4000,4000,4000,4000,4000,4000,4000b,7000,6000,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUS_TOT,NR,CH,8110,7704,8279,8165,8046,9894,9728,9552,9411,9450,9305,9078,8964,8822,9189,9037,9392,9296,9224,8766,8825,8901,9039,9186,9434,9532,9588,9378,9055,8789,8530,8028
BUS_TOT,NR,CH0,8110,7704,8279,8165,8046,9894,9728,9552,9411,9450,9305,9078,8964,8822,9189,9037,9392,9296,9224,8766,8825,8901,9039,9186,9434,9532,9588,9378,9055,8789,8530,8028
BUS_TOT,NR,CH01,1593,1512,1619,1604,1579,2042,2322,2247,2168,2141,2067,2029,2025,1967,1964,1967,1986,1938,1915,1791,1781,1781,1797,1825,1892,1933,1981,1956,1902,1878,1863,1759
BUS_TOT,NR,CH02,2654,2524,2631,2541,2475,2873,2104,2082,2075,2076,2077,2038,1923,1886,2170,2159,2097,2065,2038,2042,2030,2055,2072,2049,2110,2124,2134,2080,2063,2027,1966,1867
BUS_TOT,NR,CH03,796,760,804,802,810,942,1042,1021,1016,1039,1061,1047,1045,1021,986,942,1017,1032,1021,942,982,974,995,997,1022,1018,1016,963,902,859,830,788
BUS_TOT,NR,CH04,901,884,970,953,937,1123,1138,1119,1115,1121,1079,1040,1065,1106,1142,1114,1270,1238,1224,1211,1214,1220,1274,1322,1363,1395,1394,1391,1335,1293,1247,1168
BUS_TOT,NR,CH05,931,856,932,930,926,1272,1502,1488,1482,1501,1475,1433,1447,1374,1418,1393,1426,1422,1446,1291,1316,1369,1392,1464,1516,1555,1562,1529,1452,1383,1302,1217
BUS_TOT,NR,CH06,644,634,758,776,764,996,1012,996,958,970,970,938,903,895,922,934,960,958,948,941,959,962,959,956,967,962,962,928,898,858,841,776
BUS_TOT,NR,CH07,591,534,565,559,555,646,608,599,597,602,576,553,556,573,587,528,636,643,632,548,543,540,550,573,564,545,539,531,503,491,481,453
BUS_TOT,NR,CY,2774,2655,3151,3084,2991,2842,2712,2581,3500,3600,3500,3400,3400,3400,3300,3200,3200,3200,3300,3000,3000,2900,2800,2800,2800,2800,2700,2500,2400,2400,2200,2300
BUS_TOT,NR,CY0,2774,2655,3151,3084,2991,2842,2712,2581,3500,3600,3500,3400,3400,3400,3300,3200,3200,3200,3300,3000,3000,2900,2800,2800,2800,2800,2700,2500,2400,2400,2200,2300
BUS_TOT,NR,CY00,2774,2655,3151,3084,2991,2842,2712,2581,3500,3600,3500,3400,3400,3400,3300,3200,3200,3200,3300,3000,3000,2900,2800,2800,2800,2800,2700,2500,2400,2400,2200,2300
BUS_TOT,NR,CZ,20780,20065,22337,22205,21548,20938,20780,20511,20000,19900,20000,20000,20000,20400,20400,20000,20000,20000,20600,21300,18400,18300,19000,20000,20800,20500,19800,19100,18500,26600,26700,26000
BUS_TOT,NR,CZ0,20780,20065,22337,22205,21548,20938,20780,20511,20000,19900,20000,20000,20000,20400,20400,20000,20000,20000,20600,21300,18400,18300,19000,20000,20800,20500,19800,19100,18500,26600,26700,26000
BUS_TOT,NR,CZ01,3827,3616,4344,4253,4127,3998,3896,3739,4000,3800,4000,4000,4000,3800,3700,4000,4000,3000,3400,3500,3100,3000,2900,2900,3000,2900,:,:,:,:,:,:
BUS_TOT,NR,CZ02,2956,2824,2854,2823,2754,2520,2451,2351,2000,2300,2000,2000,2000,2500,2600,3000,3000,3000,2500,2600,2200,2200,2400,2500,2700,2600,:,:,:,:,:,:
BUS_TOT,NR,CZ03,2028,2020,2540,2512,2317,2296,2342,2136,2000,2100,2000,2000,2000,2200,2200,2000,2000,2000,2300,2400,2000,2000,2100,2200,2400,2300,:,:,:,:,:,:
BUS_TOT,NR,CZ04,1835,1842,1982,1976,1862,1916,1816,1867,2000,1700,2000,2000,2000,1900,1900,2000,2000,2000,2200,2300,1900,1900,2100,2200,2300,2300,:,:,:,:,:,:
BUS_TOT,NR,CZ05,3313,2832,3125,3108,3058,2989,2935,3311,3000,3200,3000,3000,3000,3000,3000,3000,3000,3000,3100,3200,2700,2600,2600,2700,2800,2800,:,:,:,:,:,:
BUS_TOT,NR,CZ06,2970,2948,3269,3272,3305,3246,3264,3189,3000,2900,3000,3000,3000,2900,2900,3000,3000,3000,3000,3000,2700,2700,2800,3000,3100,3000,:,:,:,:,:,:
BUS_TOT,NR,CZ07,1769,1722,1926,1815,1725,1637,1692,1564,2000,1600,2000,2000,2000,1600,1700,2000,2000,2000,1700,1800,1500,1500,1600,2100,2200,2200,:,:,:,:,:,:
BUS_TOT,NR,CZ08,2082,2261,2297,2446,2400,2336,2384,2354,2000,2300,2000,2000,2000,2400,2400,2000,2000,2000,2500,2600,2300,2300,2400,2200,2300,2300,:,:,:,:,:,:
BUS_TOT,NR,DE,75548,81364,80519,79438,78949,78345,77501,76794,76023,75988,76463,76433,75270,75068b,83549,83904,85508,86480,85880,86461,86656,84922,84700,83300,84000,84000,86200,88000,73000,:,:,142000
BUS_TOT,NR,DE1,8272,9225,9178,8958,8784,8664,8567,8422,8465,8561,8617,8563,8458,8416b,9327,9428,9500,9635,9608,9706,9669,9499,9400,9300,9500,8000,9500,9000,10000,9000,9000,9000
BUS_TOT,NR,DE11,3059,3281,3210,3046,2910,3176,3104,3071,3104,3084,3116,3111,3015,3011b,3327,3360,3383,3464,3459,3448,3426,3314,3300,3300,3400,3000,3400,3000,3000,3000,3000,3000
BUS_TOT,NR,DE12,1821,2033,2157,2185,2255,1928,1928,1865,1839,1913,1901,1874,1835,1811b,1925,1986,2007,2021,2028,2128,2130,2106,2100,2000,2100,2000,2100,2000,2000,2000,2000,2000
BUS_TOT,NR,DE13,1682,1985,1911,1887,1834,1813,1821,1785,1782,1806,1822,1799,1823,1807b,2042,2058,2078,2133,2075,2084,2101,2111,2100,2100,2100,2000,2100,2000,2000,2000,2000,2000
BUS_TOT,NR,DE14,1710,1926,1900,1840,1785,1747,1714,1701,1740,1758,1778,1779,1785,1787b,2033,2024,2032,2017,2046,2046,2012,1968,2000,2000,2000,1000,1900,2000,2000,2000,2000,2000
